,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
37,37,9,420979.0,4033.0,104.4,23.93,-12.07,47.77,1400.0,76.6,169.6,9.68,0.5,89.82,4,24.87,6.55,0.121,0.219,0.66
38,38,4,45436.0,262.0,173.4,61.07,18.75,8.19,35000.0,98.0,836.3,3.85,0.0,96.15,2,12.74,4.89,0.014,0.032,0.954
39,39,9,4303356.0,622984.0,6.9,0.0,0.0,91.0,1100.0,51.0,2.3,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25
40,40,9,9944201.0,1284000.0,7.7,0.0,-0.11,93.82,1200.0,47.5,1.3,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406
41,41,4,16134219.0,756950.0,21.3,0.85,0.0,8.8,9900.0,96.2,213.0,2.65,0.42,96.93,4,15.23,5.81,0.06,0.493,0.447
42,42,0,1313973713.0,9596960.0,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1,13.25,6.97,0.125,0.473,0.403
43,43,4,43593035.0,1138910.0,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533
44,44,9,690948.0,2170.0,318.4,15.67,0.0,74.93,700.0,56.5,24.5,35.87,23.32,40.81,2,36.93,8.2,0.4,0.04,0.56
45,45,9,62660551.0,2345410.0,26.7,0.0,0.0,94.69,700.0,65.5,0.2,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34
46,46,9,3702314.0,342000.0,10.8,0.05,-0.17,93.86,700.0,83.8,3.7,0.51,0.13,99.36,2,42.57,12.93,0.062,0.57,0.369
47,47,8,21388.0,240.0,89.1,50.0,0.038124999999999985,35.50696428571428,5000.0,95.0,289.9,17.39,13.04,69.57,2,21.0,9.241345291479819,0.151,0.096,0.753
48,48,4,4075261.0,51100.0,79.8,2.52,0.51,9.95,9100.0,96.0,340.7,4.41,5.88,89.71,2,18.32,4.36,0.088,0.299,0.614
49,49,9,17654843.0,322460.0,54.8,0.16,-0.07,90.83,1400.0,50.9,14.6,9.75,13.84,76.41,2,35.11,14.84,0.279,0.171,0.55
