,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
163,163,3,38536869.0,312685.0,123.3,0.16,-0.49,8.51,11100.0,99.8,306.3,45.91,1.12,52.97,4,9.85,9.89,0.05,0.311,0.64
164,164,10,10605870.0,92391.0,114.8,1.94,3.57,5.05,18000.0,93.3,399.2,21.75,7.81,70.44,4,10.72,10.5,0.053,0.274,0.673
165,165,4,3927188.0,13790.0,284.8,3.63,-1.46,8.24,16800.0,94.1,283.1,3.95,5.52,90.53,2,12.77,7.65,0.01,0.45,0.54
166,166,5,885359.0,11437.0,77.4,4.92,16.29,18.61,21500.0,82.5,232.0,1.64,0.27,98.09,0,15.56,4.72,0.002,0.801,0.197
167,167,9,787584.0,2517.0,312.9,8.22,0.0,7.78,5800.0,88.9,380.9,13.6,1.2,85.2,2,18.9,5.49,0.08,0.19,0.73
168,168,3,22303552.0,237500.0,93.9,0.09,-0.13,26.43,7000.0,98.4,196.9,40.82,2.25,56.93,4,10.7,11.77,0.101,0.35,0.549
169,169,2,142893540.0,17075200.0,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,7.33,0.11,92.56,2,9.95,14.65,0.054,0.371,0.575
170,170,9,8648248.0,26338.0,328.4,0.0,0.0,91.23,1300.0,70.4,2.7,40.54,12.16,47.3,4,40.37,16.09,0.401,0.229,0.37
171,171,9,7502.0,413.0,18.2,14.53,0.0,19.0,2500.0,97.0,293.3,12.9,0.0,87.1,2,12.13,6.53,0.15084433962264152,0.28271090047393366,0.5652830188679244
172,172,4,39129.0,261.0,149.9,51.72,-7.11,14.49,8800.0,97.0,638.9,19.44,2.78,77.78,2,18.02,8.33,0.035,0.258,0.707
173,173,4,168458.0,616.0,273.5,25.65,-2.67,13.53,5400.0,67.0,303.3,6.56,22.95,70.49,2,19.68,5.08,0.07,0.2,0.73
174,191,7,7026.0,242.0,29.0,49.59,-4.86,7.54,6900.0,99.0,683.2,13.04,0.0,86.96,2,13.52,6.83,0.15084433962264152,0.28271090047393366,0.5652830188679244
175,174,4,117848.0,389.0,303.0,21.59,-7.64,14.78,2900.0,96.0,190.9,17.95,17.95,64.1,2,16.18,5.98,0.1,0.26,0.64
176,175,8,176908.0,2944.0,60.1,13.69,-11.7,27.71,5600.0,99.7,75.2,21.2,24.38,54.42,2,16.43,6.62,0.114,0.584,0.302
177,176,10,29251.0,61.0,479.5,0.0,10.98,5.73,34600.0,96.0,704.3,16.67,0.0,83.33,2,10.02,8.17,0.15084433962264152,0.28271090047393366,0.5652830188679244
178,177,9,193413.0,1001.0,193.2,20.88,-2.72,43.11,1200.0,79.3,36.2,6.25,48.96,44.79,2,40.25,6.47,0.167,0.148,0.684
179,178,5,27019731.0,1960582.0,13.8,0.13,-2.71,13.24,11800.0,78.8,140.6,1.67,0.09,98.24,0,29.34,2.58,0.033,0.613,0.354
180,179,9,11987121.0,196190.0,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,12.78,0.21,87.01,2,32.78,9.42,0.172,0.209,0.619
181,180,3,9396411.0,88361.0,106.3,0.0,-1.33,12.89,2200.0,93.0,285.8,33.35,3.2,63.45,2,22.114732142857147,9.241345291479819,0.166,0.255,0.579
182,181,9,81541.0,455.0,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,2.22,13.33,84.45,2,16.03,6.29,0.032,0.304,0.665
183,182,9,6005250.0,71740.0,83.7,0.56,0.0,143.64,500.0,31.4,4.0,6.98,0.89,92.13,2,45.76,23.03,0.49,0.31,0.21
184,183,0,4492150.0,693.0,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.64,0.0,98.36,2,9.34,4.28,0.0,0.339,0.661
185,184,3,5439448.0,48845.0,111.4,0.0,0.3,7.41,13300.0,82.83827751196175,220.1,30.16,2.62,67.22,4,10.65,9.45,0.035,0.294,0.672
186,185,3,2010347.0,20273.0,99.2,0.23,1.12,4.45,19000.0,99.7,406.1,8.6,1.49,89.91,2,8.98,10.31,0.028,0.369,0.603
187,186,8,552438.0,28450.0,19.4,18.67,0.0,21.29,1700.0,82.83827751196175,13.4,0.64,2.0,97.36,2,30.01,3.92,0.42,0.11,0.47
188,187,9,8863338.0,637657.0,13.9,0.47,5.37,116.7,500.0,37.8,11.3,1.67,0.04,98.29,0,45.13,16.63,0.65,0.1,0.25
189,188,9,44187637.0,1219912.0,36.2,0.23,-0.29,61.81,10700.0,86.4,107.0,12.08,0.79,87.13,0,18.2,22.0,0.025,0.303,0.671
190,189,10,40397842.0,504782.0,80.0,0.98,0.99,4.42,22000.0,97.9,453.5,26.07,9.87,64.06,4,10.06,9.72,0.04,0.295,0.665
191,190,0,20222240.0,65610.0,308.2,2.04,-1.31,14.35,3700.0,92.3,61.5,13.86,15.7,70.44,2,15.51,6.52,0.178,0.276,0.545
192,192,9,41236378.0,2505810.0,16.5,0.03,-0.02,62.5,1900.0,61.1,16.3,6.83,0.18,92.99,2,34.53,8.97,0.387,0.203,0.41
193,193,4,439117.0,163270.0,2.7,0.24,-8.81,23.57,4000.0,93.0,184.7,0.37,0.06,99.57,2,18.02,7.27,0.13,0.22,0.65
194,194,9,1136334.0,17363.0,65.5,0.0,0.0,69.27,4900.0,81.6,30.8,10.35,0.7,88.95,3,27.41,29.74,0.119,0.515,0.366
195,195,10,9016596.0,449964.0,20.0,0.72,1.67,2.77,26800.0,99.0,715.0,6.54,0.01,93.45,4,10.27,10.31,0.011,0.282,0.707
196,196,10,7523934.0,41290.0,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.61,88.97,4,9.71,8.49,0.015,0.34,0.645
197,197,5,18881361.0,185180.0,102.0,0.1,0.0,29.53,3300.0,76.9,153.8,25.22,4.43,70.35,0,27.76,4.81,0.249,0.23,0.519
198,198,0,23036087.0,35980.0,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,2,12.56,6.48,0.018,0.259,0.723
199,199,2,7320815.0,143100.0,51.2,0.0,-2.86,110.76,1000.0,99.4,33.5,6.61,0.92,92.47,2,32.65,8.25,0.234,0.286,0.48
200,200,9,37445392.0,945087.0,39.6,0.15,-2.06,98.54,600.0,78.2,4.0,4.52,1.08,94.4,2,37.71,16.39,0.432,0.172,0.396
201,201,0,64631595.0,514000.0,125.7,0.63,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,2,13.87,7.04,0.099,0.441,0.46
202,202,9,5548702.0,56785.0,97.7,0.1,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,2,37.01,9.83,0.395,0.204,0.401
203,203,8,114689.0,748.0,153.3,56.02,0.0,12.62,2200.0,98.5,97.7,23.61,43.06,33.33,2,25.37,5.28,0.23,0.27,0.5
204,204,4,1065842.0,5128.0,207.9,7.06,-10.83,24.31,9500.0,98.6,303.5,14.62,9.16,76.22,2,12.9,10.57,0.007,0.57,0.423
205,205,6,10175014.0,163610.0,62.2,0.7,-0.57,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,4,15.52,5.13,0.132,0.318,0.55
206,206,5,70413958.0,780580.0,90.2,0.92,0.0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,4,16.62,5.97,0.117,0.298,0.585
207,207,2,5042920.0,488100.0,10.3,0.0,-0.86,73.08,5800.0,98.0,74.6,3.72,0.14,96.14,0,27.61,8.6,0.209,0.38,0.411
208,208,4,21152.0,430.0,49.2,90.47,11.68,15.67,9600.0,98.0,269.5,2.33,0.0,97.67,2,21.84,4.21,0.15084433962264152,0.28271090047393366,0.5652830188679244
209,209,8,11810.0,26.0,454.2,92.31,0.0,20.03,1100.0,82.83827751196175,59.3,0.0,0.0,100.0,2,22.18,7.11,0.166,0.272,0.562
210,210,9,28195754.0,236040.0,119.5,0.0,0.0,67.83,1400.0,69.9,3.6,25.88,10.65,63.47,2,47.35,12.24,0.311,0.222,0.469
211,211,2,46710816.0,603700.0,77.4,0.46,-0.39,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,4,8.82,14.39,0.187,0.452,0.361
212,212,5,2602713.0,82880.0,31.4,1.59,1.03,14.51,23200.0,77.9,475.3,0.6,2.25,97.15,0,18.96,4.4,0.04,0.585,0.375
213,213,10,60609153.0,244820.0,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21,76.33,4,10.71,10.13,0.005,0.237,0.758
214,214,7,298444215.0,9631420.0,31.0,0.21,3.41,6.5,37800.0,97.0,898.0,19.13,0.22,80.65,4,14.14,8.26,0.01,0.204,0.787
215,215,4,3431932.0,176220.0,19.5,0.37,-0.32,11.95,12800.0,98.0,291.4,7.43,0.23,92.34,4,13.91,9.05,0.093,0.311,0.596
216,216,2,27307134.0,447400.0,61.0,0.0,-1.72,71.1,1700.0,99.3,62.9,10.83,0.83,88.34,0,26.36,7.84,0.342,0.229,0.43
217,217,8,208869.0,12200.0,17.1,20.72,0.0,55.16,2900.0,53.0,32.6,2.46,7.38,90.16,2,22.72,7.82,0.26,0.12,0.62
218,218,4,25730435.0,912050.0,28.2,0.31,-0.04,22.2,4800.0,93.4,140.1,2.95,0.92,96.13,2,18.71,4.92,0.04,0.419,0.541
219,219,0,84402966.0,329560.0,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,2,16.86,6.22,0.209,0.41,0.381
220,220,4,108605.0,1910.0,56.9,9.84,-8.94,8.03,17200.0,82.83827751196175,652.8,11.76,2.94,85.3,2,13.96,6.43,0.01,0.19,0.8
221,221,8,16025.0,274.0,58.5,47.08,0.038124999999999985,35.50696428571428,3700.0,50.0,118.6,5.0,25.0,70.0,2,22.114732142857147,9.241345291479819,0.15084433962264152,0.28271090047393366,0.5652830188679244
222,222,5,2460492.0,5860.0,419.9,0.0,2.98,19.62,800.0,82.83827751196175,145.2,16.9,18.97,64.13,4,31.67,3.92,0.09,0.28,0.63
223,223,6,273008.0,266000.0,1.0,0.42,0.038124999999999985,35.50696428571428,9689.823008849558,82.83827751196175,236.06143497757847,0.02,0.0,99.98,0,22.114732142857147,9.241345291479819,0.15084433962264152,0.28271090047393366,0.4
224,224,5,21456188.0,527970.0,40.6,0.36,0.0,61.5,800.0,50.2,37.2,2.78,0.24,96.98,0,42.89,8.3,0.135,0.472,0.393
225,225,9,11502010.0,752614.0,15.3,0.0,0.0,88.29,800.0,80.6,8.2,7.08,0.03,92.9,2,41.0,19.93,0.22,0.29,0.489
226,226,9,12236805.0,390580.0,31.3,0.0,0.0,67.69,1900.0,90.7,26.8,8.32,0.34,91.34,2,28.01,21.84,0.179,0.243,0.579
